"","country","year","gender_pay_gap","monthly_income","p_female","p_male"
"1","Austria",2021,"19.100000000000001","4013.833333","0.40974187035349502","0.59025812964650404"
"2","Austria",2022,"18.7","4228.4166670000004","0.41351491234297399","0.58648508765702501"
"3","Austria",2023,"18.3","4542.3333329999996","0.41176470588235198","0.58823529411764697"
"4","Belgium",2021,"1.8","4141.3333329999996","0.428552121882671","0.571447878117328"
"5","Belgium",2022,"0.7","4451.5","0.433862964171776","0.56613703582822295"
"6","Belgium",2023,"0.7","4832.4166670000004","0.43157894736842101","0.56842105263157805"
"7","Bulgaria",2021,"11.9","862.08333330000005","0.445371560630684","0.55462843936931505"
"8","Bulgaria",2022,"12.6","990","0.44490207909916002","0.55509792090083898"
"9","Bulgaria",2023,"13.5","1125.25","0.43809523809523798","0.56190476190476102"
"10","Croatia",2021,"7.3","1375.083333","0.43210412982431401","0.56789587017568499"
"11","Croatia",2022,"7.7","1545.5","0.43069541010219398","0.56930458989780497"
"12","Croatia",2023,"7.4","1793.583333","0.43157894736842101","0.56842105263157805"
"13","Cyprus",2021,"11","1962.666667","0.44097191362781502","0.55902808637218404"
"14","Cyprus",2022,"11.9","2111.5","0.44122122694133897","0.55877877305865997"
"15","Cyprus",2023,"12.2","2202.5","0.44247787610619399","0.55752212389380496"
"16","Czechia",2021,"15.4","1572.916667","0.42439650891458602","0.57560349108541298"
"17","Czechia",2022,"18.399999999999999","1780.833333","0.42220988173539897","0.57779011826460003"
"18","Czechia",2023,"18","1954.5","0.42105263157894701","0.57894736842105199"
"19","Denmark",2021,"14.2","5250.25","0.44516311100170802","0.55483688899829098"
"20","Denmark",2022,"13.8","5430.6666670000004","0.44644716039320498","0.55355283960679502"
"21","Denmark",2023,"14","5633.6666670000004","0.453703703703703","0.54629629629629595"
"22","Estonia",2021,"20.3","1760","0.43736630462338899","0.56263369537661001"
"23","Estonia",2022,"21.1","1912","0.44009683008984002","0.55990316991015898"
"24","Estonia",2023,"16.899999999999999","2074.916667","0.44915254237288099","0.55084745762711795"
"25","European Union - 27 countries (from 2020)",2021,"12.3","2825.75","0.41982398360004802","0.58017601639995098"
"26","European Union - 27 countries (from 2020)",2022,"12.2","2969.833333","0.42080662616214498","0.57919337383785396"
"27","European Union - 27 countries (from 2020)",2023,"12","3155.25","0.42424242424242398","0.57575757575757502"
"28","Finland",2021,"16.899999999999999","3779.25","0.46110434534490702","0.53889565465509204"
"29","Finland",2022,"16","3885.083333","0.46054165547709602","0.53945834452290298"
"30","Finland",2023,"16.8","4032.583333","0.466019417475728","0.53398058252427105"
"31","France",2021,"13.7","3238.5","0.44651062493779597","0.55348937506220297"
"32","France",2022,"12.8","3401.916667","0.44590611126069601","0.55409388873930299"
"33","France",2023,"12.2","3555.166667","0.44897959183673403","0.55102040816326503"
"34","Germany",2021,"17.600000000000001","3810.583333","0.41270832226316101","0.58729167773683799"
"35","Germany",2022,"17.7","3977.583333","0.41695658192049501","0.58304341807950399"
"36","Germany",2023,"17.600000000000001","4249.8333329999996","0.41747572815533901","0.58252427184466005"
"37","Greece",2021,"NA","NA","NA","NA"
"38","Greece",2022,"13.5","1367.25","0.39701432023906902","0.60298567976092998"
"39","Greece",2023,"13.6","1417.75","0.390804597701149","0.60919540229885005"
"40","Hungary",2021,"17.2","1094.75","0.41786930895138802","0.58213069104861104"
"41","Hungary",2022,"17.5","1198.666667","0.41602442775674597","0.58397557224325303"
"42","Hungary",2023,"17.8","1407.916667","0.43859649122806998","0.56140350877192902"
"43","Ireland",2021,"9.9","4386.5","0.42274539588006299","0.57725460411993701"
"44","Ireland",2022,"9.3000000000000007","4526","0.42569794884628598","0.57430205115371302"
"45","Ireland",2023,"8.6","4889.9166670000004","0.43119266055045802","0.56880733944954098"
"46","Italy",2021,"4.7","2559.916667","0.378534445539563","0.62146555446043605"
"47","Italy",2022,"3.8","2653.916667","0.37792790388686898","0.62207209611312997"
"48","Italy",2023,"2.2000000000000002","2729.083333","0.37804878048780399","0.62195121951219501"
"49","Latvia",2021,"15.9","1418.166667","0.444227676551954","0.55577232344804495"
"50","Latvia",2022,"18.899999999999999","1598.916667","0.44635600812750098","0.55364399187249802"
"51","Latvia",2023,"19","1857.75","0.45045045045045001","0.54954954954954904"
"52","Lithuania",2021,"10.9","1810","0.45706602974451399","0.54293397025548495"
"53","Lithuania",2022,"10.5","2024.5","0.45346859340343798","0.54653140659656096"
"54","Lithuania",2023,"11.5","2264.833333","0.46153846153846101","0.53846153846153799"
"55","Luxembourg",2021,"-0.2","5962.3333329999996","0.43643132959543601","0.56356867040456304"
"56","Luxembourg",2022,"-0.7","6284.0833329999996","0.44385535984882302","0.55614464015117604"
"57","Luxembourg",2023,"-0.9","6755.3333329999996","0.44347826086956499","0.55652173913043401"
"58","Malta",2021,"7.2","2347.666667","0.40241857098068701","0.59758142901931199"
"59","Malta",2022,"5.8","2450.666667","0.40849850674386101","0.59150149325613799"
"60","Malta",2023,"5.0999999999999996","2499.083333","0.41880341880341798","0.58119658119658102"
"61","Netherlands",2021,"14.3","4562.8333329999996","0.40127791828195902","0.59872208171803998"
"62","Netherlands",2022,"14","4356.4166670000004","0.403035307202603","0.59696469279739595"
"63","Netherlands",2023,"NA","NA","NA","NA"
"64","Poland",2021,"6.2","1175.5","0.41593380747000502","0.58406619252999403"
"65","Poland",2022,"7.8","1290.666667","0.415777910160742","0.58422208983925705"
"66","Poland",2023,"7.8","1504.5","0.42727272727272703","0.57272727272727197"
"67","Portugal",2021,"7.1","1654.25","0.45087963960168698","0.54912036039831302"
"68","Portugal",2022,"6.3","1760.916667","0.45453904618344099","0.54546095381655801"
"69","Portugal",2023,"8.6","1911.083333","0.45945945945945899","0.54054054054054002"
"70","Romania",2021,"1.4","1103.75","0.41001085765981798","0.58998914234018096"
"71","Romania",2022,"1.5","1255.333333","0.40827174875956701","0.59172825124043205"
"72","Romania",2023,"3.8","1478.25","0.402061855670103","0.597938144329896"
"73","Slovakia",2021,"16","1353.5","0.42969701365295998","0.57030298634703902"
"74","Slovakia",2022,"16.8","1440.5","0.42907172423121398","0.57092827576878502"
"75","Slovakia",2023,"15.7","1583.416667","0.45132743362831801","0.54867256637168105"
"76","Slovenia",2021,"2.7","2387.833333","0.44689585384463199","0.55310414615536696"
"77","Slovenia",2022,"6.8","2520.416667","0.44862321019986201","0.55137678980013705"
"78","Slovenia",2023,"5.4","2756.75","0.453703703703703","0.54629629629629595"
"79","Spain",2021,"9.3000000000000007","2448.583333","0.42410528305141598","0.57589471694858296"
"80","Spain",2022,"9.1999999999999993","2572.25","0.42410776885377999","0.57589223114621901"
"81","Spain",2023,"9.1999999999999993","2715.583333","0.42708333333333298","0.57291666666666596"
"82","Sweden",2021,"10.3","3941.75","0.469875745440611","0.53012425455938805"
"83","Sweden",2022,"10.4","3869.666667","0.46872815345826402","0.53127184654173498"
"84","Sweden",2023,"11.2","3718.25","0.464912280701754","0.53508771929824495"
